OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_20KM;FID_ne_50m_coastline_Test_Clip_Buffer20km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
319;4;4;-1;38;67
320;4;4;-1;38;65
321;4;4;-1;38;58
322;4;4;-1;38;42
323;4;4;-1;38;65
324;4;4;-1;38;49
325;4;4;-1;38;66
326;4;4;-1;38;34
327;4;4;-1;38;54
328;4;4;-1;38;76
329;4;4;-1;38;89
330;4;4;-1;38;95
331;4;4;-1;38;129
332;4;4;-1;38;127
333;4;4;-1;38;67
334;4;4;-1;38;29
335;4;4;-1;38;51
336;4;4;-1;38;55
337;4;4;-1;38;53
338;4;4;-1;38;54
339;4;4;-1;38;46
340;4;4;-1;38;51
341;4;4;-1;38;59
342;4;4;-1;38;71
343;4;4;-1;38;104
344;4;4;-1;38;76
345;4;4;-1;38;91
346;4;4;-1;38;81
347;4;4;-1;38;68
348;4;4;-1;38;138
349;4;4;-1;38;137
350;4;4;-1;38;111
351;4;4;-1;38;134
352;4;4;-1;38;95
353;4;4;-1;38;56
354;4;4;-1;38;31
355;4;4;-1;38;23
356;4;4;-1;38;23
357;4;4;-1;38;25
358;4;4;-1;38;37
359;4;4;-1;38;47
360;4;4;-1;38;67
361;4;4;-1;38;72
362;4;4;-1;38;54
363;4;4;-1;38;55
364;4;4;-1;38;55
365;4;4;-1;38;175
366;4;4;-1;38;75
367;4;4;-1;38;67
368;4;4;-1;38;97
369;4;4;-1;38;59
370;4;4;-1;38;17
371;4;4;-1;38;57
372;4;4;-1;38;57
373;4;4;-1;38;77
374;4;4;-1;38;79
375;4;4;-1;38;31
376;4;4;-1;38;73
377;4;4;-1;38;75
378;4;4;-1;38;72
379;4;4;-1;38;74
380;4;4;-1;38;58
381;4;4;-1;38;78
382;4;4;-1;38;86
383;4;4;-1;38;78
384;4;4;-1;38;203
385;4;4;-1;38;60
386;4;4;-1;38;47
387;4;4;-1;38;14
388;4;4;-1;38;0
389;4;4;-1;38;33
390;4;4;-1;38;58
391;4;4;-1;38;54
392;4;4;-1;38;45
393;4;4;-1;38;26
394;4;4;-1;38;27
395;4;4;-1;38;18
396;4;4;-1;38;1
397;4;4;-1;38;1
398;4;4;-1;38;0
399;4;4;-1;38;0
400;4;4;-1;38;73
401;4;4;-1;38;86
402;4;4;-1;38;87
403;4;4;-1;38;121
404;4;4;-1;38;81
405;4;4;-1;38;166
406;4;4;-1;38;140
407;4;4;-1;38;109
408;4;4;-1;38;71
409;4;4;-1;38;135
410;4;4;-1;38;95
411;4;4;-1;38;107
412;4;4;-1;38;210
413;4;4;-1;38;170
414;4;4;-1;38;112
415;4;4;-1;38;126
416;4;4;-1;38;307
417;4;4;-1;38;217
418;4;4;-1;38;345
419;4;4;-1;38;182
420;4;4;-1;38;43
421;4;4;-1;38;178
422;4;4;-1;38;188
423;4;4;-1;38;126
424;4;4;-1;38;168
425;4;4;-1;38;27
426;4;4;-1;38;209
427;4;4;-1;38;156
428;4;4;-1;38;145
429;4;4;-1;38;152
430;4;4;-1;38;264
431;4;4;-1;38;191
432;4;4;-1;38;147
433;4;4;-1;38;159
434;4;4;-1;38;168
435;4;4;-1;38;12
436;4;4;-1;38;98
437;4;4;-1;38;84
438;4;4;-1;38;152
439;4;4;-1;38;156
440;4;4;-1;38;156
441;4;4;-1;38;97
442;4;4;-1;38;131
443;4;4;-1;38;107
444;4;4;-1;38;467
445;4;4;-1;38;212
446;4;4;-1;38;346
447;4;4;-1;38;587
448;4;4;-1;38;277
449;4;4;-1;38;165
450;4;4;-1;38;554
451;4;4;-1;38;225
452;4;4;-1;38;101
453;4;4;-1;38;105
454;4;4;-1;38;72
455;4;4;-1;38;115
456;4;4;-1;38;67
457;4;4;-1;38;80
458;4;4;-1;38;75
459;4;4;-1;38;141
460;4;4;-1;38;138
461;4;4;-1;38;92
462;4;4;-1;38;81
463;4;4;-1;38;69
464;4;4;-1;38;89
465;4;4;-1;38;93
466;4;4;-1;38;86
467;4;4;-1;38;59
468;4;4;-1;38;66
469;4;4;-1;38;30
470;4;4;-1;38;81
471;4;4;-1;38;86
472;4;4;-1;38;77
473;4;4;-1;38;77
474;4;4;-1;38;104
475;4;4;-1;38;98
476;4;4;-1;38;90
477;2;2;-1;12;75
478;2;2;-1;12;119
479;2;2;-1;12;144
480;2;2;-1;12;138
481;2;2;-1;12;158
482;2;2;-1;12;137
483;2;2;-1;12;101
484;4;4;-1;38;115
485;4;4;-1;38;143
486;4;4;-1;38;102
487;4;4;-1;38;55
488;4;4;-1;38;72
489;4;4;-1;38;77
490;4;4;-1;38;71
491;4;4;-1;38;70
492;4;4;-1;38;125
493;4;4;-1;38;119
494;4;4;-1;38;187
495;4;4;-1;38;128
496;4;4;-1;38;222
497;4;4;-1;38;309
498;4;4;-1;38;241
499;4;4;-1;38;257
500;4;4;-1;38;271
501;4;4;-1;38;327
502;4;4;-1;38;362
503;4;4;-1;38;244
504;4;4;-1;38;329
505;4;4;-1;38;458
506;4;4;-1;38;519
507;4;4;-1;38;424
508;4;4;-1;38;216
509;4;4;-1;38;22
510;4;4;-1;38;14
511;4;4;-1;38;20
512;4;4;-1;38;20
513;4;4;-1;38;28
514;4;4;-1;38;18
515;4;4;-1;38;17
516;4;4;-1;38;16
517;4;4;-1;38;18
518;4;4;-1;38;16
519;4;4;-1;38;15
520;4;4;-1;38;17
521;4;4;-1;38;11
522;4;4;-1;38;14
523;4;4;-1;38;18
524;4;4;-1;38;17
525;4;4;-1;38;14
526;4;4;-1;38;8
527;4;4;-1;38;16
528;4;4;-1;38;10
529;4;4;-1;38;11
530;4;4;-1;38;5
531;4;4;-1;38;11
532;4;4;-1;38;9
533;4;4;-1;38;20
534;4;4;-1;38;18
535;4;4;-1;38;12
536;4;4;-1;38;11
537;4;4;-1;38;4
538;4;4;-1;38;7
539;4;4;-1;38;18
540;4;4;-1;38;2
541;4;4;-1;38;0
542;4;4;-1;38;24
543;4;4;-1;38;26
544;4;4;-1;38;22
545;4;4;-1;38;54
546;4;4;-1;38;52
547;4;4;-1;38;129
548;4;4;-1;38;204
549;4;4;-1;38;252
550;4;4;-1;38;327
551;4;4;-1;38;413
552;4;4;-1;38;275
553;4;4;-1;38;373
554;4;4;-1;38;538
555;4;4;-1;38;290
556;4;4;-1;38;258
557;4;4;-1;38;125
558;4;4;-1;38;41
559;4;4;-1;38;148
560;4;4;-1;38;212
561;4;4;-1;38;99
562;4;4;-1;38;79
563;4;4;-1;38;170
564;4;4;-1;38;199
565;4;4;-1;38;155
566;4;4;-1;38;134
567;4;4;-1;38;123
568;4;4;-1;38;72
569;4;4;-1;38;139
570;4;4;-1;38;221
571;4;4;-1;38;422
572;4;4;-1;38;523
573;4;4;-1;38;310
574;4;4;-1;38;53
575;4;4;-1;38;72
576;4;4;-1;38;152
577;4;4;-1;38;477
578;4;4;-1;38;243
579;4;4;-1;38;144
580;4;4;-1;38;168
581;4;4;-1;38;196
582;4;4;-1;38;85
583;4;4;-1;38;38
584;4;4;-1;38;50
585;4;4;-1;38;22
586;4;4;-1;38;56
587;4;4;-1;38;38
588;4;4;-1;38;99
589;4;4;-1;38;119
590;4;4;-1;38;115
591;4;4;-1;38;99
592;4;4;-1;38;120
593;4;4;-1;38;111
594;4;4;-1;38;81
595;4;4;-1;38;197
596;4;4;-1;38;79
597;4;4;-1;38;87
598;4;4;-1;38;101
599;4;4;-1;38;170
600;4;4;-1;38;130
601;4;4;-1;38;106
602;4;4;-1;38;74
603;4;4;-1;38;84
604;4;4;-1;38;66
605;4;4;-1;38;89
606;4;4;-1;38;87
607;4;4;-1;38;67
608;4;4;-1;38;97
609;4;4;-1;38;162
610;4;4;-1;38;77
611;4;4;-1;38;111
612;4;4;-1;38;107
613;4;4;-1;38;82
614;4;4;-1;38;68
615;4;4;-1;38;114
616;4;4;-1;38;146
617;4;4;-1;38;174
618;4;4;-1;38;172
619;4;4;-1;38;120
620;4;4;-1;38;160
621;4;4;-1;38;38
622;4;4;-1;38;66
623;4;4;-1;38;73
624;4;4;-1;38;93
625;4;4;-1;38;100
626;4;4;-1;38;111
627;4;4;-1;38;73
628;4;4;-1;38;70
629;4;4;-1;38;73
630;4;4;-1;38;58
631;4;4;-1;38;129
632;4;4;-1;38;133
633;4;4;-1;38;134
634;4;4;-1;38;153
635;4;4;-1;38;96
636;4;4;-1;38;133
637;4;4;-1;38;79
638;4;4;-1;38;104
639;4;4;-1;38;112
640;4;4;-1;38;153
641;4;4;-1;38;88
642;4;4;-1;38;60
643;4;4;-1;38;88
644;4;4;-1;38;91
645;4;4;-1;38;71
646;4;4;-1;38;195
647;4;4;-1;38;209
648;4;4;-1;38;153
649;4;4;-1;38;170
650;4;4;-1;38;101
651;4;4;-1;38;115
652;4;4;-1;38;124
653;4;4;-1;38;130
654;4;4;-1;38;139
655;4;4;-1;38;139
656;4;4;-1;38;143
657;4;4;-1;38;150
658;4;4;-1;38;155
659;4;4;-1;38;158
660;4;4;-1;38;161
661;4;4;-1;38;119
662;4;4;-1;38;125
663;4;4;-1;38;123
664;4;4;-1;38;125
665;4;4;-1;38;99
666;4;4;-1;38;76
667;4;4;-1;38;70
668;4;4;-1;38;88
669;4;4;-1;38;86
670;4;4;-1;38;101
671;4;4;-1;38;86
672;4;4;-1;38;77
673;4;4;-1;38;76
674;4;4;-1;38;89
675;4;4;-1;38;87
676;4;4;-1;38;61
677;4;4;-1;38;90
678;4;4;-1;38;146
679;4;4;-1;38;114
680;4;4;-1;38;56
681;4;4;-1;38;94
682;4;4;-1;38;114
683;4;4;-1;38;140
684;4;4;-1;38;137
685;4;4;-1;38;149
686;4;4;-1;38;99
687;4;4;-1;38;119
688;4;4;-1;38;193
689;4;4;-1;38;118
690;4;4;-1;38;127
691;4;4;-1;38;48
692;4;4;-1;38;54
693;4;4;-1;38;92
694;4;4;-1;38;101
695;4;4;-1;38;101
696;4;4;-1;38;87
697;4;4;-1;38;75
698;4;4;-1;38;73
699;4;4;-1;38;67
700;4;4;-1;38;90
701;4;4;-1;38;95
702;4;4;-1;38;96
703;4;4;-1;38;102
704;4;4;-1;38;112
705;4;4;-1;38;120
706;4;4;-1;38;144
707;4;4;-1;38;144
708;4;4;-1;38;116
709;4;4;-1;38;96
710;4;4;-1;38;95
711;4;4;-1;38;100
712;4;4;-1;38;106
713;4;4;-1;38;109
714;4;4;-1;38;135
715;4;4;-1;38;128
716;4;4;-1;38;98
717;4;4;-1;38;107
718;4;4;-1;38;93
719;4;4;-1;38;93
720;4;4;-1;38;96
721;4;4;-1;38;96
722;4;4;-1;38;115
723;4;4;-1;38;108
724;4;4;-1;38;104
725;4;4;-1;38;102
726;4;4;-1;38;66
727;4;4;-1;38;108
728;4;4;-1;38;91
729;4;4;-1;38;98
730;4;4;-1;38;52
731;4;4;-1;38;108
732;4;4;-1;38;147
733;4;4;-1;38;91
734;4;4;-1;38;100
735;4;4;-1;38;134
736;4;4;-1;38;81
737;4;4;-1;38;83
738;4;4;-1;38;87
739;4;4;-1;38;110
740;4;4;-1;38;118
741;4;4;-1;38;107
742;4;4;-1;38;107
743;4;4;-1;38;148
744;4;4;-1;38;147
745;4;4;-1;38;147
746;4;4;-1;38;136
747;4;4;-1;38;140
748;4;4;-1;38;136
749;4;4;-1;38;135
750;4;4;-1;38;130
