OID_;id;id_cs;ate_avg;ate_min;ate_max;ate_stdev;GlobSedv2_Clip_ProjectRaster
2468;24243;121458;-32,049999999999997;-24,800000000000001;-39,299999999999997;7,250000000000000;
2469;24244;121459;-51,729999999999997;-51,100000000000001;-52,100000000000001;0,450000000000000;
2470;24245;121466;-80,750000000000000;-19,899999999999999;-141,599999999999994;60,850000000000001;
2471;24246;121481;-21,050000000000001;3,900000000000000;-82,099999999999994;35,359999999999999;
2472;24247;121486;-282,199999999999989;-182,500000000000000;-359,199999999999989;73,900000000000006;
2473;24705;127614;-137,960000000000008;-22,699999999999999;-524,200000000000045;171,759999999999991;1019,9212036
2474;24706;127624;-116,209999999999994;-11,100000000000000;-299,899999999999977;104,680000000000007;1133,5891113
2475;24707;127625;-116,019999999999996;-34,899999999999999;-499,800000000000011;143,539999999999992;959,2736206
2476;24708;127645;-14,400000000000000;-12,699999999999999;-16,100000000000001;1,700000000000000;
2477;24709;127651;-27,530000000000001;-7,900000000000000;-65,900000000000006;18,590000000000000;993,1839600
2478;24710;127658;-25,980000000000000;-23,000000000000000;-32,299999999999997;3,350000000000000;1036,8695068
2479;24711;127673;-142,599999999999994;-25,699999999999999;-388,600000000000023;119,269999999999996;1015,9850464
2480;24712;127674;-42,829999999999998;-10,199999999999999;-81,700000000000003;29,059999999999999;1015,0402832
2481;24713;127680;-525,299999999999955;-218,099999999999994;-832,500000000000000;307,199999999999989;1232,0789795
2482;24714;127681;-24,120000000000001;-23,199999999999999;-24,899999999999999;0,640000000000000;1105,3735352
2483;24715;127689;-9,970000000000001;-6,400000000000000;-12,199999999999999;2,550000000000000;
2484;24716;127690;-2,700000000000000;1,800000000000000;-7,200000000000000;4,500000000000000;
2485;24717;127692;-58,640000000000001;-2,700000000000000;-193,900000000000006;78,659999999999997;1070,8935547
2486;24718;127701;-15,300000000000001;-7,400000000000000;-23,199999999999999;7,900000000000000;
2487;24719;127702;-53,630000000000003;-47,000000000000000;-71,500000000000000;10,340000000000000;
2488;24720;127703;-64,299999999999997;8,699999999999999;-229,800000000000011;77,760000000000005;
2489;24721;127704;-97,189999999999998;1,600000000000000;-217,199999999999989;76,390000000000001;
2490;24722;127706;-80,379999999999995;2,600000000000000;-110,099999999999994;43,259999999999998;
2491;24723;127707;-82,260000000000005;5,200000000000000;-289,500000000000000;109,890000000000001;
2492;24724;127708;-17,100000000000001;1,300000000000000;-37,100000000000001;13,960000000000001;869,7022705
2493;24725;127715;-42,570000000000000;-36,299999999999997;-54,700000000000003;8,580000000000000;
2494;24726;127716;-65,000000000000000;-40,399999999999999;-94,500000000000000;19,609999999999999;
2495;24727;127718;-252,000000000000000;-57,500000000000000;-615,000000000000000;255,099999999999994;
2496;24728;127727;-29,600000000000001;-5,900000000000000;-47,899999999999999;14,789999999999999;
2497;24729;127729;-73,069999999999993;3,500000000000000;-196,599999999999994;88,180000000000007;
2498;24730;127730;-67,879999999999995;-22,000000000000000;-131,300000000000011;37,869999999999997;
2499;24731;127731;-21,770000000000000;6,500000000000000;-97,599999999999994;36,770000000000003;
2500;24732;127732;-199,120000000000005;-49,299999999999997;-444,800000000000011;139,530000000000001;
2501;24733;127733;-63,729999999999997;-24,399999999999999;-139,300000000000011;33,609999999999999;
2502;24734;127734;-700,649999999999977;-165,699999999999989;-1211,799999999999955;417,120000000000005;1057,8895264
2503;24735;127735;-168,680000000000007;-17,399999999999999;-349,199999999999989;139,659999999999997;1056,7015381
2504;24736;127736;-561,399999999999977;-512,100000000000023;-610,700000000000045;49,299999999999997;
2505;24737;127740;-55,250000000000000;-10,900000000000000;-211,199999999999989;70,819999999999993;
2506;24738;127741;-174,419999999999987;-35,700000000000003;-313,600000000000023;91,439999999999998;
2507;24739;127742;-19,420000000000002;6,200000000000000;-60,299999999999997;22,359999999999999;
2508;24740;127743;-29,739999999999998;-9,300000000000001;-43,200000000000003;11,940000000000000;
2509;24741;127744;-66,640000000000001;-10,000000000000000;-408,699999999999989;105,969999999999999;
2510;24742;127751;-14,310000000000000;-1,700000000000000;-22,699999999999999;7,480000000000000;951,8822632
2511;24743;127757;-125,319999999999993;-33,000000000000000;-267,600000000000023;71,400000000000006;
2512;24744;127758;-49,530000000000001;-11,500000000000000;-189,099999999999994;59,479999999999997;
2513;24745;127766;-53,820000000000000;-2,700000000000000;-142,199999999999989;53,250000000000000;
2514;24746;127768;-158,960000000000008;-62,899999999999999;-307,000000000000000;80,340000000000003;
2515;24747;127771;-178,439999999999998;-26,600000000000001;-510,399999999999977;175,250000000000000;
2516;24748;127772;-106,650000000000006;-8,400000000000000;-584,600000000000023;149,840000000000003;
2517;24749;127773;-44,100000000000001;-34,899999999999999;-54,100000000000001;9,220000000000001;
2518;24750;127774;-63,329999999999998;-56,700000000000003;-72,299999999999997;6,170000000000000;
2519;24751;127776;-26,480000000000000;-3,200000000000000;-49,899999999999999;21,559999999999999;
2520;24752;127777;6,200000000000000;6,200000000000000;6,200000000000000;0,000000000000000;
2521;24753;127786;-38,000000000000000;-24,300000000000001;-58,899999999999999;13,289999999999999;
2522;24754;127787;-9,970000000000001;12,300000000000001;-24,199999999999999;15,949999999999999;
2523;24755;127793;-0,500000000000000;-0,500000000000000;-0,500000000000000;0,000000000000000;1123,3071289
2524;24756;127799;-21,239999999999998;-1,000000000000000;-32,399999999999999;10,500000000000000;
2525;24757;127801;-181,300000000000011;-127,099999999999994;-340,500000000000000;91,920000000000002;
2526;24758;127805;-27,980000000000000;-17,899999999999999;-39,399999999999999;8,680000000000000;
2527;24759;127807;-25,980000000000000;-2,400000000000000;-48,899999999999999;22,059999999999999;
2528;24760;127808;-50,350000000000001;-23,399999999999999;-77,299999999999997;26,949999999999999;1072,7902832
2529;24761;127817;-12,000000000000000;-5,900000000000000;-18,100000000000001;6,100000000000000;
2530;24762;127820;-233,699999999999989;-24,199999999999999;-682,600000000000023;229,400000000000006;1055,1219482
2531;24763;127824;-39,619999999999997;-12,900000000000000;-51,600000000000001;15,570000000000000;
2532;24764;127826;-42,030000000000001;-13,100000000000000;-53,799999999999997;12,390000000000001;
2533;24765;127830;-59,399999999999999;0,500000000000000;-127,000000000000000;51,630000000000003;
2534;24766;127836;-57,430000000000000;-29,800000000000001;-69,000000000000000;12,670000000000000;
2535;24767;127839;-52,700000000000003;-52,299999999999997;-53,100000000000001;0,400000000000000;
2536;24768;127841;-478,600000000000023;-467,300000000000011;-489,899999999999977;11,300000000000001;
2537;24769;127847;-213,770000000000010;-116,099999999999994;-262,600000000000023;69,060000000000002;
2538;24770;127849;-52,250000000000000;-52,200000000000003;-52,299999999999997;0,050000000000000;
2539;24771;127854;-707,899999999999977;-707,899999999999977;-707,899999999999977;0,000000000000000;
2540;24772;127868;-57,469999999999999;-40,399999999999999;-91,200000000000003;23,850000000000001;1651,6929932
2541;24773;127872;-366,829999999999984;-72,000000000000000;-777,399999999999977;199,349999999999994;1578,4335938
2542;24774;127874;-160,729999999999990;28,199999999999999;-691,000000000000000;252,289999999999992;1579,7117920
2543;24775;127877;-72,530000000000001;-42,799999999999997;-131,199999999999989;41,479999999999997;
2544;24776;127879;-77,540000000000006;-6,100000000000000;-237,199999999999989;60,789999999999999;
2545;24777;127880;-76,599999999999994;-41,899999999999999;-111,299999999999997;34,700000000000003;
2546;24778;127883;-142,919999999999987;-43,399999999999999;-198,300000000000011;65,810000000000002;
2547;24779;127885;-1,100000000000000;-1,100000000000000;-1,100000000000000;0,000000000000000;1651,4938965
2548;24780;127886;-228,050000000000011;-53,100000000000001;-384,100000000000023;135,800000000000011;
2549;24781;127891;-85,239999999999995;-7,400000000000000;-340,399999999999977;127,959999999999994;
2550;24782;127900;-174,099999999999994;-92,200000000000003;-237,400000000000006;53,770000000000003;
2551;24783;127911;-31,199999999999999;-31,199999999999999;-31,199999999999999;0,000000000000000;
2552;24784;127912;-70,450000000000003;-55,500000000000000;-85,400000000000006;14,949999999999999;
2553;24785;127934;-100,450000000000003;-26,500000000000000;-166,599999999999994;49,799999999999997;746,6104736
2554;24786;127935;-69,200000000000003;-43,100000000000001;-101,000000000000000;26,059999999999999;
2555;24787;127937;-73,799999999999997;-51,299999999999997;-96,299999999999997;22,500000000000000;736,6497192
2556;24788;127939;-27,820000000000000;-9,600000000000000;-77,700000000000003;25,870000000000001;
2557;24789;127941;-25,149999999999999;-23,399999999999999;-26,899999999999999;1,750000000000000;
2558;24790;127956;-319,600000000000023;-30,100000000000001;-1539,400000000000091;509,209999999999980;1318,0979004
2559;24791;127970;-222,580000000000013;-27,600000000000001;-772,100000000000023;214,650000000000006;1327,4204102
2560;24792;127977;-298,649999999999977;-17,399999999999999;-992,700000000000045;286,670000000000016;
2561;24793;127978;-272,000000000000000;-26,300000000000001;-715,000000000000000;234,550000000000011;
2562;24794;127979;-137,259999999999991;-17,600000000000001;-690,200000000000045;160,110000000000014;
2563;24795;127991;-3,300000000000000;4,500000000000000;-15,100000000000000;7,720000000000000;
2564;24796;128003;-463,199999999999989;-75,000000000000000;-1043,299999999999955;320,279999999999973;1389,3359375
2565;24797;128005;-300,699999999999989;-300,699999999999989;-300,699999999999989;0,000000000000000;
2566;24798;128008;-176,129999999999995;-73,799999999999997;-346,300000000000011;121,150000000000006;
2567;24799;128011;-432,000000000000000;-398,399999999999977;-465,600000000000023;33,600000000000001;
2568;24800;128012;-157,030000000000001;-30,600000000000001;-339,800000000000011;132,370000000000005;
2569;24801;128014;-203,150000000000006;-60,200000000000003;-441,000000000000000;160,750000000000000;
2570;24802;128015;-393,649999999999977;-158,900000000000006;-628,399999999999977;234,750000000000000;
2571;24803;128017;-557,529999999999973;-77,599999999999994;-1616,599999999999909;618,179999999999950;
2572;24804;128022;-62,950000000000003;-22,800000000000001;-378,199999999999989;105,200000000000003;1306,7602539
2573;24805;128023;-16,329999999999998;-4,700000000000000;-26,199999999999999;8,869999999999999;1332,3450928
2574;24806;128072;-71,430000000000007;-47,299999999999997;-87,299999999999997;17,340000000000000;
2575;24807;128074;-42,899999999999999;-42,299999999999997;-43,500000000000000;0,600000000000000;
2576;24808;128075;-153,939999999999998;-0,600000000000000;-478,000000000000000;201,639999999999986;
2577;24809;128076;-28,379999999999999;1,600000000000000;-47,799999999999997;19,149999999999999;
2578;24810;128077;-80,439999999999998;-51,100000000000001;-103,400000000000006;18,699999999999999;
2579;24811;128082;-93,159999999999997;-23,100000000000001;-261,600000000000023;77,409999999999997;
2580;24812;128083;-123,340000000000003;-45,299999999999997;-341,899999999999977;89,750000000000000;
2581;24813;128084;-59,369999999999997;-44,500000000000000;-82,900000000000006;11,650000000000000;
2582;24814;128085;-63,229999999999997;-15,900000000000000;-141,699999999999989;34,880000000000003;
2583;24815;128088;-154,250000000000000;-153,099999999999994;-155,400000000000006;1,150000000000000;
2584;24816;128092;-38,359999999999999;-2,000000000000000;-63,299999999999997;22,739999999999998;
2585;24817;128093;-181,319999999999993;-9,100000000000000;-354,100000000000023;114,439999999999998;
2586;24818;128095;-30,949999999999999;-11,500000000000000;-45,200000000000003;12,199999999999999;
2587;24819;128096;-251,099999999999994;-68,900000000000006;-768,000000000000000;298,600000000000023;
2588;24820;128098;-197,360000000000014;-91,099999999999994;-432,000000000000000;125,170000000000002;
2589;24821;128109;-26,350000000000001;3,300000000000000;-60,700000000000003;29,199999999999999;1202,3870850
2590;24822;128110;-11,699999999999999;-11,699999999999999;-11,699999999999999;0,000000000000000;1202,9207764
2591;24823;128111;-646,100000000000023;-432,800000000000011;-780,799999999999955;129,210000000000008;1203,0201416
2592;24824;128117;-325,269999999999982;-113,200000000000003;-673,899999999999977;187,409999999999997;
2593;24825;128118;-31,649999999999999;-23,500000000000000;-39,799999999999997;8,150000000000000;
2594;24826;128119;-47,180000000000000;-10,400000000000000;-83,700000000000003;27,129999999999999;
2595;24827;128120;-71,780000000000001;-13,400000000000000;-113,799999999999997;36,530000000000001;
2596;24828;128121;-322,199999999999989;-60,500000000000000;-914,799999999999955;349,670000000000016;1179,5301514
2597;24829;128122;-110,870000000000005;-47,700000000000003;-239,000000000000000;61,250000000000000;1180,9475098
2598;24830;128123;-213,750000000000000;-20,199999999999999;-858,500000000000000;227,110000000000014;1182,3328857
2599;24831;128124;-101,469999999999999;-16,000000000000000;-169,000000000000000;57,789999999999999;
2600;24832;128126;-90,599999999999994;-28,500000000000000;-216,699999999999989;72,150000000000006;
2601;24833;128128;-81,579999999999998;-34,700000000000003;-110,700000000000003;28,890000000000001;
2602;24834;128130;-98,510000000000005;3,100000000000000;-419,899999999999977;140,379999999999995;
2603;24835;128131;-165,370000000000005;-50,899999999999999;-376,699999999999989;149,610000000000014;
2604;24836;128132;-199,099999999999994;-54,399999999999999;-408,000000000000000;140,710000000000008;
2605;24837;128133;-55,950000000000003;-34,500000000000000;-78,099999999999994;15,630000000000001;
2606;24838;128134;-182,629999999999995;-13,500000000000000;-665,399999999999977;204,189999999999998;
2607;24839;128135;-314,250000000000000;-22,600000000000001;-860,200000000000045;322,639999999999986;
2608;24840;128136;-120,280000000000001;-74,799999999999997;-205,000000000000000;50,039999999999999;1340,0183105
2609;24841;128137;-106,500000000000000;-10,100000000000000;-189,500000000000000;67,459999999999994;
2610;24842;128140;7,000000000000000;10,699999999999999;0,200000000000000;3,580000000000000;
2611;24843;128141;-385,399999999999977;-72,200000000000003;-698,600000000000023;313,199999999999989;1603,4736328
2612;24844;128142;-183,949999999999989;-127,000000000000000;-231,300000000000011;39,180000000000000;
2613;24845;128143;-214,550000000000011;-64,200000000000003;-364,899999999999977;150,349999999999994;
2614;24846;128145;-269,000000000000000;3,300000000000000;-768,700000000000045;353,819999999999993;
2615;24847;128146;-172,819999999999993;-8,000000000000000;-369,899999999999977;113,599999999999994;
2616;24848;128147;-90,790000000000006;12,500000000000000;-244,900000000000006;81,650000000000006;
2617;24849;128150;-228,449999999999989;-133,900000000000006;-325,800000000000011;92,140000000000001;
2618;24850;128151;-31,930000000000000;-6,800000000000000;-46,299999999999997;17,829999999999998;
2619;24851;128152;-384,370000000000005;-107,700000000000003;-871,299999999999955;323,439999999999998;
2620;24852;128153;-76,239999999999995;-5,200000000000000;-237,900000000000006;69,000000000000000;
2621;24853;128157;-89,269999999999996;-6,200000000000000;-244,300000000000011;71,200000000000003;
