OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_10KM;FID_ne_50m_coastline_Test_Clip_Bufffer10km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
416;15;10;-1;38;97
417;15;10;-1;38;76
418;15;10;-1;38;24
419;15;10;-1;38;10
420;15;10;-1;38;13
421;15;10;-1;38;33
422;15;10;-1;38;52
423;15;10;-1;38;53
424;15;10;-1;38;50
425;15;10;-1;38;20
426;15;10;-1;38;4
427;15;10;-1;38;11
428;15;10;-1;38;24
429;15;10;-1;38;13
430;15;10;-1;38;20
431;15;10;-1;38;18
432;15;10;-1;38;23
433;15;10;-1;38;18
434;15;10;-1;38;17
435;15;10;-1;38;16
436;15;10;-1;38;23
437;15;10;-1;38;20
438;15;10;-1;38;11
439;15;10;-1;38;23
440;15;10;-1;38;60
441;15;10;-1;38;44
442;15;10;-1;38;134
443;15;10;-1;38;60
444;15;10;-1;38;11
445;15;10;-1;38;19
446;15;10;-1;38;35
447;15;10;-1;38;63
448;15;10;-1;38;23
449;15;10;-1;38;29
450;15;10;-1;38;5
451;15;10;-1;38;2
452;15;10;-1;38;0
453;15;10;-1;38;6
454;15;10;-1;38;1
455;15;10;-1;38;0
456;15;10;-1;38;0
457;15;10;-1;38;20
458;15;10;-1;38;35
459;15;10;-1;38;30
460;15;10;-1;38;33
461;15;10;-1;38;25
462;15;10;-1;38;39
463;15;10;-1;38;31
464;15;10;-1;38;73
465;15;10;-1;38;68
466;15;10;-1;38;85
467;15;10;-1;38;120
468;15;10;-1;38;17
469;15;10;-1;38;66
470;15;10;-1;38;80
471;15;10;-1;38;86
472;15;10;-1;38;62
473;15;10;-1;38;87
474;15;10;-1;38;112
475;15;10;-1;38;134
476;15;10;-1;38;63
477;15;10;-1;38;19
478;15;10;-1;38;103
479;15;10;-1;38;10
480;15;10;-1;38;2
481;15;10;-1;38;0
482;15;10;-1;38;30
483;15;10;-1;38;56
484;15;10;-1;38;68
485;15;10;-1;38;31
486;15;10;-1;38;71
487;15;10;-1;38;52
488;15;10;-1;38;49
489;15;10;-1;38;71
490;15;10;-1;38;57
491;15;10;-1;38;96
492;15;10;-1;38;75
493;15;10;-1;38;6
494;15;10;-1;38;10
495;15;10;-1;38;0
496;15;10;-1;38;0
497;15;10;-1;38;0
498;15;10;-1;38;107
499;15;10;-1;38;179
500;15;10;-1;38;244
501;15;10;-1;38;47
502;15;10;-1;38;27
503;15;10;-1;38;126
504;15;10;-1;38;132
505;15;10;-1;38;71
506;15;10;-1;38;82
507;15;10;-1;38;118
508;15;10;-1;38;32
509;15;10;-1;38;130
510;15;10;-1;38;401
511;15;10;-1;38;319
512;15;10;-1;38;195
513;15;10;-1;38;43
514;15;10;-1;38;80
515;15;10;-1;38;46
516;15;10;-1;38;67
517;15;10;-1;38;189
518;15;10;-1;38;246
519;15;10;-1;38;193
520;15;10;-1;38;163
521;15;10;-1;38;104
522;15;10;-1;38;130
523;15;10;-1;38;78
524;15;10;-1;38;13
525;15;10;-1;38;25
526;15;10;-1;38;12
527;15;10;-1;38;0
528;6;4;-1;12;21
529;6;4;-1;12;16
530;6;4;-1;12;24
531;6;4;-1;12;78
532;6;4;-1;12;113
533;6;4;-1;12;98
534;6;4;-1;12;78
535;6;4;-1;12;77
536;6;4;-1;12;53
537;6;4;-1;12;41
538;6;4;-1;12;37
539;6;4;-1;12;57
540;6;4;-1;12;84
541;6;4;-1;12;121
542;6;4;-1;12;146
543;6;4;-1;12;191
544;6;4;-1;12;213
545;6;4;-1;12;252
546;6;4;-1;12;249
547;6;4;-1;12;271
548;6;4;-1;12;278
549;6;4;-1;12;257
550;6;4;-1;12;255
551;6;4;-1;12;218
552;6;4;-1;12;198
553;6;4;-1;12;196
554;6;4;-1;12;147
555;6;4;-1;12;104
556;6;4;-1;12;179
557;6;4;-1;12;114
558;6;4;-1;12;109
559;15;10;-1;38;20
560;15;10;-1;38;42
561;15;10;-1;38;42
562;15;10;-1;38;63
563;15;10;-1;38;80
564;15;10;-1;38;48
565;15;10;-1;38;72
566;15;10;-1;38;44
567;15;10;-1;38;48
568;15;10;-1;38;26
569;15;10;-1;38;61
570;15;10;-1;38;80
571;15;10;-1;38;60
572;15;10;-1;38;69
573;15;10;-1;38;61
574;15;10;-1;38;36
575;15;10;-1;38;56
576;6;4;-1;12;35
577;6;4;-1;12;37
578;6;4;-1;12;19
579;6;4;-1;12;72
580;6;4;-1;12;17
581;6;4;-1;12;17
582;6;4;-1;12;57
583;6;4;-1;12;20
584;6;4;-1;12;18
585;6;4;-1;12;29
586;6;4;-1;12;28
587;15;10;-1;38;13
588;15;10;-1;38;20
589;15;10;-1;38;17
590;15;10;-1;38;10
591;15;10;-1;38;16
592;15;10;-1;38;20
593;15;10;-1;38;0
594;15;10;-1;38;20
595;15;10;-1;38;33
596;15;10;-1;38;137
597;15;10;-1;38;217
598;15;10;-1;38;54
599;15;10;-1;38;37
600;15;10;-1;38;128
601;15;10;-1;38;158
602;15;10;-1;38;290
603;15;10;-1;38;283
604;15;10;-1;38;116
605;15;10;-1;38;155
606;15;10;-1;38;216
607;15;10;-1;38;316
608;15;10;-1;38;220
609;15;10;-1;38;328
610;15;10;-1;38;90
611;15;10;-1;38;75
612;15;10;-1;38;93
613;15;10;-1;38;243
614;15;10;-1;38;298
615;15;10;-1;38;172
616;15;10;-1;38;255
617;15;10;-1;38;43
618;15;10;-1;38;21
619;15;10;-1;38;16
620;15;10;-1;38;8
621;15;10;-1;38;1
622;15;10;-1;38;7
623;15;10;-1;38;1
624;15;10;-1;38;13
625;15;10;-1;38;23
626;15;10;-1;38;13
627;15;10;-1;38;10
628;15;10;-1;38;10
629;15;10;-1;38;17
630;15;10;-1;38;8
631;15;10;-1;38;8
632;15;10;-1;38;6
633;15;10;-1;38;6
634;15;10;-1;38;16
635;15;10;-1;38;9
636;15;10;-1;38;12
637;15;10;-1;38;23
638;15;10;-1;38;18
639;15;10;-1;38;8
640;15;10;-1;38;18
